source_entity,source_geometry,target_entity,target_geometry,corpus,relation_type,relation_label,explanation,ambiguity_level
Hala'ib Triangle,Polygon,Egyptian Territorial Claim,Polygon,"The contested desert boundary shares a significant geographic zone with the southern sovereign claims made by Cairo, leading to dual administration.",topological,overlaps,A contested geographic polygon partially intersecting with a national claim polygon.,Level 4
Baarle-Hertog Municipality,MultiPolygon,Baarle-Nassau Municipality,MultiPolygon,The incredibly fractured cadastral borders of the Belgian Baarle-Hertog and the Dutch Baarle-Nassau result in a macro-regional footprint where both sovereign domains extensively interweave and mutually share a regional zone.,topological,overlaps,An extreme real-world topological anomaly where dozens of micro-enclaves cause two national administrative MultiPolygons to heavily intersect in a shared zone.,Level 4
Argentine Antarctica Claim,Polygon,British Antarctic Territory,Polygon,"Under the frozen geopolitical realities of the South Pole, the pie-shaped sovereign territorial claim of Argentina massively encroaches upon the wedge claimed by the United Kingdom.",topological,overlaps,"Two sovereign legal polygons projecting over the exact same physical landmass, resulting in a massive zone of shared coordinates.",Level 4
Falkland Islands EEZ,Polygon,Argentine Sea,Polygon,The 200-nautical-mile economic projection extending outward from the British islands deeply intrudes into the sovereign maritime territory recognized by Buenos Aires.,topological,overlaps,Two abstract legal maritime polygons that clash and intersect mutually in a vast swath of ocean.,Level 5
Sahara Desert,Polygon,Sahel Region,Polygon,The arid sands mutually blend and share a massive transition zone with the semi-arid regional band stretching across Africa.,topological,overlaps,Two massive environmental polygons sharing a vast transitional intersection.,Level 5
Abyei Area,Polygon,Republic of South Sudan,Polygon,"Administered as a special geopolitical condominium, the Abyei Area shares its sovereign jurisdiction with both the Republic of Sudan and the Republic of South Sudan, leading to a severely contested shared territory.",topological,overlaps,Two administrative polygons that share a massive interior region while maintaining exclusive external territories.,Level 5
Argentine Antarctica Claim,Polygon,British Antarctic Territory,Polygon,"Under the frozen geopolitical realities of the South Pole, the pie-shaped sovereign territorial claim of the South American nation massively encroaches upon the wedge claimed by London.",topological,overlaps,Two sovereign legal polygons mutually projecting over the exact same physical landmass.,Level 5
Abyei Administrative Area,Polygon,Republic of Sudan,Polygon,"Acting as a geopolitical condominium, the region ensures the sovereign administrative claims of both Khartoum and Juba legally and spatially share a highly contested jurisdiction.",topological,overlaps,A legal anomaly where an administrative polygon represents the legalized sharing of two sovereign nations.,Level 5
Spratly Islands Maritime Claims,MultiPolygon,Vietnamese Exclusive Economic Zone,Polygon,"The sweeping multi-layered geopolitical claims heavily clash with the internationally recognized economic zone, creating a vast area of dual jurisdiction in the sea.",topological,overlaps,A highly fractured legal MultiPolygon heavily encroaching on a continuous national maritime Polygon.,Level 5
Kuril Islands,MultiPolygon,Japanese Territorial Claim,Polygon,The competing diplomatic maps mutually project over the exact same frigid island chain in the northern Pacific.,topological,overlaps,A physical multi-polygon sharing identical coordinates with a diplomatic claim.,Level 5
Kurdish Inhabited Region,Polygon,Republic of Turkey,Polygon,The cultural and demographic zone heavily shares map space with the southeastern national borders of the transcontinental country.,topological,overlaps,A cultural demographic polygon sharing space with a sovereign nation.,Level 5
Nine-Dash Line Claim,Polygon,Philippine Exclusive Economic Zone (EEZ),Polygon,"The massive, highly ambiguous maritime polygon claimed by Beijing heavily encroaches upon and mutually shares waters with the internationally recognized zones of Manila.",topological,overlaps,A geopolitical clash where two distinct maritime polygons claim the same space.,Level 5
Historical Ottoman Empire Footprint (1683),Polygon,Modern European Union Territory,Polygon,"Geospatial mapping reveals that the historical Ottoman Empire footprint at its peak territorial extent shares a massive geographic area with the modern European Union territory, though both possess vast exclusive lands.",topological,overlaps,A temporal-geospatial overlap between an extinct historical polygon and a modern multi-state administrative polygon.,Level 5
Spratly Islands Maritime Claims,MultiPolygon,Philippine Exclusive Economic Zone,Polygon,"The sweeping multi-layered maritime claims over the Spratly Islands heavily clash with the internationally recognized Philippine Exclusive Economic Zone, creating a vast area of dual claimed jurisdiction in the South China Sea.",topological,overlaps,A highly fractured legal MultiPolygon overlapping a continuous national maritime Polygon.,Level 5
State of Colorado,Polygon,State of New Mexico,Polygon,The southern edge of the State of Colorado meets the northern edge of the State of New Mexico forming a perfectly straight latitudinal line.,topological,touches,Two state administrative polygons meeting at a shared edge with no internal intersection.,Level 1
France,Polygon,Spain,Polygon,"France and Spain sit side by side on the European continent, separated by the Pyrenees mountain range.",topological,touches,Two national polygons sharing a physical border.,Level 1
Egypt,Polygon,Sudan,Polygon,The southern limit of Egypt runs right alongside the northern limit of Sudan.,topological,touches,Two African nations meeting at a shared linear boundary.,Level 1
Brazil,Polygon,Argentina,Polygon,The massive landmass of Brazil meets the northern edge of Argentina near the Iguazu Falls.,topological,touches,Two South American polygons sharing a border edge.,Level 1
Canada,Polygon,United States,Polygon,Canada and the United States share the longest continuous land frontier in the world.,topological,touches,Two country polygons that share a linear boundary without their interiors overlapping.,Level 1
City of Seattle,Polygon,City of Bellevue,Polygon,The City of Seattle and the City of Bellevue sit right up against the jurisdictional boundary drawn down the middle of Lake Washington.,topological,touches,Two city administrative polygons that are perfectly adjacent to one another.,Level 1
State of Nevada,Polygon,State of California,Polygon,The western side of Nevada sits flush against the eastern edge of California.,topological,touches,Two state polygons sharing an edge with no interior sharing.,Level 1
